"Var";"OxyTime";"PatchNo";"R";"G";"B";"L";"a";"b";"Lwc";"awc";"bwc"
"A24";780;16;0,515346405228758;0,374169934640523;0,322928104575163;43,8473265838208;12,7809284482675;13,2327382531413;43,5582896754893;8,05210981930854;16,0691809037107
"A24";780;17;0,967356004901961;0,76343443627451;0,42875306372549;81,6832498595903;8,9800762373492;49,4806125179572;81,211481676334;1,52385000567412;53,0766105141007
"A24";780;18;0,949984681372549;0,576639093137255;0,344148284313726;69,8291552592167;30,6867651612068;46,0327732121873;69,4146372665694;23,6323063309619;49,0976024467337
"A24";780;19;0,775704656862745;0,45952818627451;0,393351715686275;57,7250445512784;29,8247829707668;22,8972222377721;57,3689842197636;23,6887052332985;26,1468620919104
"A24";780;20;0,646623093681917;0,49760348583878;0,412636165577342;56,2509697884358;11,6053005321384;17,4371855837719;55,9020286055351;5,98081017645857;20,8072977961749
"A24";780;21;0,971752450980392;0,813020833333333;0,524509803921569;85,2091150374145;4,98673183834225;41,751633695621;84,7203184382145;-2,64334946652556;45,8301754086296
"A24";780;22;0,945343137254902;0,688235294117647;0,443872549019608;76,5377367677922;17,0749421134689;41,1450904280806;76,0908192049517;9,82240313130367;44,764061375751
"A24";780;23;0,942356004901961;0,630070465686275;0,504181985294118;73,2391158641304;26,01211908362;28,7890938564939;72,8081292248946;18,8074518284696;32,6827598746478
"A24";780;24;0,946936274509804;0,807720588235294;0,681740196078431;84,9776788617755;7,79485372747646;20,6209510695846;84,49;0,120000000000009;25,47
"A24";840;1;0,767511982570806;0,464244008714597;0,181891067538126;57,0247977215746;24,599470512126;50,3325248344238;56,7331780881382;18,4933016107656;52,7197293200378
"A24";840;2;0,735860566448802;0,286187363834423;0,163572984749455;46,4143061355164;44,5602382472308;41,4872459516293;46,1650587888024;38,8306527837194;43,5861748474181
"A24";840;3;0,346544662309368;0,0968714596949891;0,107851851851852;19,4638086317015;29,4160973508595;14,5537204874396;19,3221862897558;26,0716546642806;16,0912445569857
"A24";840;4;0,215651416122004;0,133106753812636;0,114614379084967;15,7099247799461;9,39596264457848;7,30604437328685;15,583293321467;6,77235243690186;8,8990696343886
"A24";840;5;0,848522875816993;0,526169934640523;0,215302832244009;63,369895013071;25,1573454760766;53,7795702246486;63,0529366590355;18,5548857513307;56,4096222028254
"A24";840;6;0,819555555555556;0,33197385620915;0,180688453159041;52,0602367119332;47,1065768176357;46,1558035745586;51,7884427200182;40,8909092536215;48,4095828685681
"A24";840;7;0,42243137254902;0,154457516339869;0,166901960784314;26,2136615496628;30,7476155148405;13,8345997180461;26,0450841226624;26,8592098118206;15,7981918206875
