"Index";"Var";"TubNo";"Trait";"Value";"Variable"
"YIfc";"A104";1;"Diff";32,9114745438634;"YIfc_Diff"
"YIfc";"A104";1;"Slope";0,0319913728450944;"YIfc_Slope"
"YIfc";"A104";2;"Mean_i";25,7364075108245;"YIfc_Mean_i"
"YIfc";"A104";2;"Mean_f";39,3120979160423;"YIfc_Mean_f"
"YIfc";"A104";2;"SD_i";14,5606761990541;"YIfc_SD_i"
"YIfc";"A104";2;"SD_f";14,4438271151659;"YIfc_SD_f"
"YIfc";"A104";2;"Diff";13,5756904052177;"YIfc_Diff"
"YIfc";"A104";2;"Slope";0,0146526353334592;"YIfc_Slope"
"YIfc";"A104";3;"Mean_i";23,615683729393;"YIfc_Mean_i"
"YIfc";"A104";3;"Mean_f";42,7143857094527;"YIfc_Mean_f"
"YIfc";"A104";3;"SD_i";16,3743104271952;"YIfc_SD_i"
"YIfc";"A104";3;"SD_f";15,9893118259166;"YIfc_SD_f"
"YIfc";"A104";3;"Diff";19,0987019800597;"YIfc_Diff"
"YIfc";"A104";3;"Slope";0,0199580731188062;"YIfc_Slope"
"YIfc";"A117";1;"Mean_i";13,7455412483924;"YIfc_Mean_i"
"YIfc";"A117";1;"Mean_f";10,0233518167822;"YIfc_Mean_f"
"YIfc";"A117";1;"SD_i";26,4015555055736;"YIfc_SD_i"
"YIfc";"A117";1;"SD_f";25,7203258501977;"YIfc_SD_f"
"YIfc";"A117";1;"Diff";-3,72218943161017;"YIfc_Diff"
"YIfc";"A117";1;"Slope";0,000202152669613228;"YIfc_Slope"
"YIfc";"A117";2;"Mean_i";12,2699191583301;"YIfc_Mean_i"
"YIfc";"A117";2;"Mean_f";7,5500726292933;"YIfc_Mean_f"
"YIfc";"A117";2;"SD_i";21,1743770966857;"YIfc_SD_i"
"YIfc";"A117";2;"SD_f";21,410580958921;"YIfc_SD_f"
"YIfc";"A117";2;"Diff";-4,71984652903682;"YIfc_Diff"
"YIfc";"A117";2;"Slope";-0,000394628557893435;"YIfc_Slope"
"YIfc";"A117";3;"Mean_i";6,70869212133574;"YIfc_Mean_i"
"YIfc";"A117";3;"Mean_f";0,790982873224522;"YIfc_Mean_f"
"YIfc";"A117";3;"SD_i";16,4397749016858;"YIfc_SD_i"
"YIfc";"A117";3;"SD_f";16,1487247683599;"YIfc_SD_f"
"YIfc";"A117";3;"Diff";-5,91770924811122;"YIfc_Diff"
"YIfc";"A117";3;"Slope";-0,00150931683870672;"YIfc_Slope"
"YIfc";"A14";1;"Mean_i";19,4169995384734;"YIfc_Mean_i"
"YIfc";"A14";1;"Mean_f";28,9824811898011;"YIfc_Mean_f"
"YIfc";"A14";1;"SD_i";8,49653666994342;"YIfc_SD_i"
"YIfc";"A14";1;"SD_f";12,6275347292882;"YIfc_SD_f"
"YIfc";"A14";1;"Diff";9,5654816513277;"YIfc_Diff"
"YIfc";"A14";1;"Slope";0,0136228034842305;"YIfc_Slope"
"YIfc";"A14";2;"Mean_i";18,5102150442533;"YIfc_Mean_i"
"YIfc";"A14";2;"Mean_f";29,3221806745939;"YIfc_Mean_f"
"YIfc";"A14";2;"SD_i";13,0151993546445;"YIfc_SD_i"
"YIfc";"A14";2;"SD_f";18,5678272545328;"YIfc_SD_f"
"YIfc";"A14";2;"Diff";10,8119656303406;"YIfc_Diff"
"YIfc";"A14";2;"Slope";0,0146393759749464;"YIfc_Slope"
"YIfc";"A14";3;"Mean_i";23,075217985852;"YIfc_Mean_i"
"YIfc";"A14";3;"Mean_f";36,2232520608945;"YIfc_Mean_f"
"YIfc";"A14";3;"SD_i";14,4102941600251;"YIfc_SD_i"
"YIfc";"A14";3;"SD_f";16,4624482137852;"YIfc_SD_f"
"YIfc";"A14";3;"Diff";13,1480340750425;"YIfc_Diff"
"YIfc";"A14";3;"Slope";0,0172498790602949;"YIfc_Slope"
"YIfc";"A24";1;"Mean_i";17,6157379497921;"YIfc_Mean_i"
