"SourceFile";"Var";"Pic";"DateTime";"Nb";"Model";"ImageWidth";"ImageHeight";"FocusDistance";"FNumber";"ExposureTime";"ISO";"WB_RBLevels";"DOF";"FOV";"ShutterSpeed";"Aperture";"Flash";"FocalLength";"Quality";"RedBalance";"BlueBalance";"Time"
"./data/TuberColorSamples/A104/DSC_0027.NEF";"A104";"DSC_0027";2021-04-27 10:08:54;26;"NIKON D5600";6016;4016;0,749894209332456;3,5;0,01666666667;200;"1.234375 2.50390625 1 1";"0.647370681220364 0.891001306273299";"66.1012971700423 0.975858945776608";0,01666666667;3,5;24;18;"RAW    ";1,234375;2,50390625;750
"./data/TuberColorSamples/A104/DSC_0028.NEF";"A104";"DSC_0028";2021-04-27 10:09:24;27;"NIKON D5600";6016;4016;0,749894209332456;3,5;0,01666666667;200;"1.234375 2.5078125 1 1";"0.647370681220364 0.891001306273299";"66.1012971700423 0.975858945776608";0,01666666667;3,5;24;18;"RAW    ";1,234375;2,5078125;780
"./data/TuberColorSamples/A104/DSC_0029.NEF";"A104";"DSC_0029";2021-04-27 10:09:54;28;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.234375 2.50390625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,234375;2,50390625;810
"./data/TuberColorSamples/A104/DSC_0030.NEF";"A104";"DSC_0030";2021-04-27 10:10:24;29;"NIKON D5600";6016;4016;0,749894209332456;3,5;0,01666666667;200;"1.234375 2.5 1 1";"0.647370681220364 0.891001306273299";"66.1012971700423 0.975858945776608";0,01666666667;3,5;24;18;"RAW    ";1,234375;2,5;840
"./data/TuberColorSamples/A104/DSC_0031.NEF";"A104";"DSC_0031";2021-04-27 10:10:54;30;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.234375 2.49609375 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,234375;2,49609375;870
"./data/TuberColorSamples/A117/DSC_0034.NEF";"A117";"DSC_0034";2021-05-06 09:55:02;1;"NIKON D5600";6016;4016;0,749894209332456;3,5;0,01666666667;200;"1.3125 2.41015625 1 1";"0.647370681220364 0.891001306273299";"66.1012971700423 0.975858945776608";0,01666666667;3,5;24;18;"RAW    ";1,3125;2,41015625;0
"./data/TuberColorSamples/A117/DSC_0035.NEF";"A117";"DSC_0035";2021-05-06 09:55:32;2;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.30859375 2.41015625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,30859375;2,41015625;30
"./data/TuberColorSamples/A117/DSC_0036.NEF";"A117";"DSC_0036";2021-05-06 09:56:02;3;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.30859375 2.41015625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,30859375;2,41015625;60
"./data/TuberColorSamples/A117/DSC_0037.NEF";"A117";"DSC_0037";2021-05-06 09:56:32;4;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.3046875 2.41015625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,3046875;2,41015625;90
"./data/TuberColorSamples/A117/DSC_0038.NEF";"A117";"DSC_0038";2021-05-06 09:57:02;5;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.3046875 2.41015625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,3046875;2,41015625;120
"./data/TuberColorSamples/A117/DSC_0039.NEF";"A117";"DSC_0039";2021-05-06 09:57:32;6;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.3046875 2.41015625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,3046875;2,41015625;150
"./data/TuberColorSamples/A117/DSC_0040.NEF";"A117";"DSC_0040";2021-05-06 09:58:02;7;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.3046875 2.41015625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,3046875;2,41015625;180
"./data/TuberColorSamples/A117/DSC_0041.NEF";"A117";"DSC_0041";2021-05-06 09:58:32;8;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.3046875 2.41015625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,3046875;2,41015625;210
"./data/TuberColorSamples/A117/DSC_0042.NEF";"A117";"DSC_0042";2021-05-06 09:59:02;9;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.3046875 2.41015625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,3046875;2,41015625;240
"./data/TuberColorSamples/A117/DSC_0043.NEF";"A117";"DSC_0043";2021-05-06 09:59:32;10;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.3046875 2.4140625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,3046875;2,4140625;270
"./data/TuberColorSamples/A117/DSC_0044.NEF";"A117";"DSC_0044";2021-05-06 10:00:02;11;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.3046875 2.4140625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,3046875;2,4140625;300
"./data/TuberColorSamples/A117/DSC_0045.NEF";"A117";"DSC_0045";2021-05-06 10:00:32;12;"NIKON D5600";6016;4016;0,749894209332456;3,5;0,01666666667;200;"1.3046875 2.4140625 1 1";"0.647370681220364 0.891001306273299";"66.1012971700423 0.975858945776608";0,01666666667;3,5;24;18;"RAW    ";1,3046875;2,4140625;330
"./data/TuberColorSamples/A117/DSC_0046.NEF";"A117";"DSC_0046";2021-05-06 10:01:02;13;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.3046875 2.4140625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,3046875;2,4140625;360
"./data/TuberColorSamples/A117/DSC_0047.NEF";"A117";"DSC_0047";2021-05-06 10:01:32;14;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.3046875 2.4140625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,3046875;2,4140625;390
"./data/TuberColorSamples/A117/DSC_0048.NEF";"A117";"DSC_0048";2021-05-06 10:02:02;15;"NIKON D5600";6016;4016;0,668343917568615;3,5;0,01666666667;200;"1.3046875 2.4140625 1 1";"0.585894979797548 0.777798042676996";"65.9439600222343 0.86712522342482";0,01666666667;3,5;24;18;"RAW    ";1,3046875;2,4140625;420
